iata,name,latitude_deg,longitude_deg,continent,iso_country,municipality,timezone,icao_code,gps_code
ANX,"Andøya Airport, Andenes",69.292503,16.144199,EU,NO,Andenes,Europe/Oslo,ENAN,ENAN
AOC,Leipzig–Altenburg Airport,50.981945,12.506389,EU,DE,Nobitz,Europe/Berlin,EDAC,EDAC
AOE,Anadolu Airport,39.809898,30.5194,AS,TR,Eskişehir,Europe/Istanbul,LTBY,LTBY
AOG,Anshan Teng'ao Airport / Anshan Air Base,41.105301,122.853996,AS,CN,Anshan,Asia/Shanghai,ZYAS,ZYAS
AOI,Marche Airport,43.616299,13.3623,EU,IT,Falconara Marittima (AN),Europe/Rome,LIPY,LIPY
AOJ,Aomori Airport,40.73469924926758,140.6909942626953,AS,JP,Aomori,Asia/Tokyo,RJSA,RJSA
AOK,Karpathos Airport,35.421398,27.146,EU,GR,Karpathos Island,Europe/Athens,LGKP,LGKP
AOL,Paso De Los Libres Airport,-29.6894,-57.1521,SA,AR,Paso de los Libres,America/Argentina/Cordoba,SARL,SARL
AOO,Altoona Blair County Airport,40.296398,-78.32,NA,US,Altoona,America/New_York,KAOO,KAOO
AOR,Sultan Abdul Halim Airport,6.189670085906982,100.39800262451172,AS,MY,Alor Satar,Asia/Kuala_Lumpur,WMKA,WMKA
AOT,Aosta Corrado Gex Airport,45.738552,7.3683,EU,IT,Saint-Christophe (AO),Europe/Rome,LIMW,LIMW
APA,Centennial Airport,39.57009888,-104.848999,NA,US,Denver,America/Denver,KAPA,KAPA
APF,Naples Municipal Airport,26.1525993347,-81.7752990723,NA,US,Naples,America/New_York,KAPF,KAPF
APG,Phillips Army Air Field,39.466202,-76.1688,NA,US,Aberdeen,America/New_York,KAPG,KAPG
API,Gomez Nino Apiay Air Base,4.07607,-73.5627,SA,CO,Apiay,America/Bogota,SKAP,SKAP
APJ,Ali Pulan Airport,30.397898,81.13317,AS,CN,Burang Town,Asia/Shanghai,ZUPL,ZUPL
APL,Nampula Airport,-15.105600357055664,39.28179931640625,AF,MZ,Nampula,Africa/Maputo,FQNP,FQNP
APN,Alpena County Regional Airport,45.0780983,-83.56030273,NA,US,Alpena,America/Detroit,KAPN,KAPN
APO,Antonio Roldán Betancur Airport,7.81196,-76.7164,SA,CO,Carepa,America/Bogota,SKLC,SKLC
APW,Faleolo International Airport,-13.829999923706055,-172.00799560546875,OC,WS,Apia,Pacific/Apia,NSFA,NSFA
APZ,Zapala Airport,-38.975498,-70.113602,SA,AR,Zapala,America/Argentina/Salta,SAHZ,SAHZ
AQA,Araraquara Airport,-21.812,-48.132999,SA,BR,Araraquara,America/Sao_Paulo,SBAQ,SBAQ
AQG,Anqing Tianzhushan Airport / Anqing North Air Base,30.582199,117.050003,AS,CN,Anqing,Asia/Shanghai,ZSAQ,ZSAQ
AQI,Al Qaisumah/Hafr Al Batin Airport,28.335199,46.125099,AS,SA,Qaisumah,Asia/Riyadh,OEPA,OEPA
AQJ,Aqaba King Hussein International Airport,29.611600875854492,35.01810073852539,AS,JO,Aqaba,Asia/Amman,OJAQ,OJAQ
AQP,Rodríguez Ballón International Airport,-16.3411006927,-71.5830993652,SA,PE,Arequipa,America/Lima,SPQU,SPQU
ARA,Acadiana Regional Airport,30.0378,-91.883904,NA,US,New Iberia,America/Chicago,KARA,KARA
ARC,Arctic Village Airport,68.1147,-145.578995,NA,US,Arctic Village,America/Anchorage,PARC,PARC
ARE,Antonio Nery Juarbe Pol Airport,18.45085,-66.675768,NA,PR,Arecibo,America/Puerto_Rico,TJAB,TJAB
ARH,Talagi Airport,64.60030364990234,40.71670150756836,EU,RU,Archangelsk,Europe/Moscow,ULAA,ULAA
ARI,Chacalluta Airport,-18.348499,-70.338699,SA,CL,Arica,America/Santiago,SCAR,SCAR
ARK,Arusha Airport,-3.3677899837493896,36.63330078125,AF,TZ,Arusha,Africa/Dar_es_Salaam,HTAR,HTAR
ARM,Armidale Airport,-30.528099060099997,151.617004395,OC,AU,Armidale,Australia/Sydney,YARM,YARM
ARN,Stockholm-Arlanda Airport,59.64849,17.928829,EU,SE,Stockholm,Europe/Stockholm,ESSA,ESSA
ART,Watertown International Airport,43.991901,-76.021698,NA,US,Watertown,America/New_York,KART,KART
ARU,Araçatuba Airport,-21.141479,-50.424575,SA,BR,Araçatuba,America/Sao_Paulo,SBAU,SBAU
ARW,Arad International Airport,46.176601,21.261999,EU,RO,Arad,Europe/Bucharest,LRAR,LRAR
ARX,Aracati Dragão do Mar Regional Airport,-4.568896,-37.805135,SA,BR,Aracati,America/Fortaleza,SBAC,SBAC
ARY,Ararat Airport,-37.309978,142.988688,OC,AU,Ararat,Australia/Melbourne,YARA,YARA
ASA,Assab International Airport,13.0718,42.645,AF,ER,Assab,Africa/Asmara,HHSB,HHSB
ASB,Ashgabat International Airport,37.986801,58.361,AS,TM,Ashgabat,Asia/Ashgabat,UTAA,UTAA
ASD,Andros Town Airport,24.697901,-77.795601,NA,BS,Andros Town,America/Nassau,MYAF,MYAF
ASE,Aspen-Pitkin County Airport (Sardy Field),39.223202,-106.869003,NA,US,Aspen,America/Denver,KASE,KASE
ASF,Astrakhan Narimanovo Boris M. Kustodiev International Airport,46.282843,48.010511,AS,RU,Astrakhan,Europe/Astrakhan,URWA,URWA
ASI,RAF Ascension Island,-7.9696,-14.3937,AF,SH,Cat Hill,Atlantic/St_Helena,FHAW,FHAW
ASJ,Amami Airport,28.430599212646484,129.71299743652344,AS,JP,Amami,Asia/Tokyo,RJKA,RJKA
ASK,Yamoussoukro Airport,6.9031701088,-5.36558008194,AF,CI,Yamoussoukro,Africa/Abidjan,DIYO,DIYO
ASM,Asmara International Airport,15.291899681091309,38.910701751708984,AF,ER,Asmara,Africa/Asmara,HHAS,HHAS
ASO,Asosa Airport,10.018500328063965,34.586299896240234,AF,ET,Asosa,Africa/Addis_Ababa,HASO,HASO
ASP,Alice Springs Airport,-23.806588,133.903427,OC,AU,Alice Springs,Australia/Darwin,YBAS,YBAS
ASR,Kayseri Erkilet Airport,38.770401001,35.4953994751,AS,TR,Kayseri,Europe/Istanbul,LTAU,LTAU
AST,Astoria Regional Airport,46.158000946,-123.878997803,NA,US,Astoria,America/Los_Angeles,KAST,KAST
ASU,Aeropuerto Internacional Silvio Pettirossi,-25.240156,-57.519227,SA,PY,Asunción,America/Asuncion,SGAS,SGAS
ASV,Amboseli Airport,-2.645050048828125,37.25310134887695,AF,KE,Amboseli National Park,Africa/Nairobi,HKAM,HKAM
ASW,Aswan International Airport,23.968137,32.824445,AF,EG,Aswan,Africa/Cairo,HESN,HESN
ATA,Comandante FAP German Arias Graziani Airport,-9.347439765930176,-77.59839630126953,SA,PE,Anta,America/Lima,SPHZ,SPHZ
ATC,Arthur's Town Airport,24.6294,-75.673797,NA,BS,Arthur's Town,America/Nassau,MYCA,MYCA
ATF,Chachoán Regional Airport,-1.21207,-78.5746,SA,EC,Ambato,America/Guayaquil,SEAM,SEAM
ATG,Minhas Air Base,33.8690986633,72.4009017944,AS,PK,Kamra,Asia/Karachi,,OPMS
